#Fastq_screen version: 0.15.3	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	15340	1148	7.48	8333	54.32	3141	20.48	765	4.99	1953	12.73
Mouse	15340	13276	86.55	5	0.03	5	0.03	851	5.55	1203	7.84
Rat	15340	13069	85.19	4	0.03	3	0.02	659	4.30	1605	10.46
Yeast	15340	15051	98.12	0	0.00	0	0.00	6	0.04	283	1.84
Ecoli	15340	15340	100.00	0	0.00	0	0.00	0	0.00	0	0.00
rRNA	15340	13907	90.66	0	0.00	0	0.00	199	1.30	1234	8.04
MT	15340	15285	99.64	13	0.08	1	0.01	41	0.27	0	0.00
Vectors	15340	15329	99.93	0	0.00	0	0.00	2	0.01	9	0.06
Adapters	15340	15339	99.99	0	0.00	0	0.00	0	0.00	1	0.01

%Hit_no_genomes: 7.16
