#Fastq_screen version: 0.15.3	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	15340	366	2.38	8874	57.85	3198	20.85	767	5.00	2135	13.92
Mouse	15340	13085	85.29	10	0.07	0	0.00	862	5.62	1383	9.02
Rat	15340	12919	84.22	4	0.03	2	0.01	700	4.56	1715	11.18
Yeast	15340	15045	98.08	0	0.00	0	0.00	3	0.02	292	1.90
Ecoli	15340	15340	100.00	0	0.00	0	0.00	0	0.00	0	0.00
rRNA	15340	13758	89.69	0	0.00	0	0.00	181	1.18	1401	9.13
MT	15340	15294	99.70	12	0.08	0	0.00	31	0.20	3	0.02
Vectors	15340	15322	99.88	0	0.00	0	0.00	7	0.05	11	0.07
Adapters	15340	15329	99.93	2	0.01	0	0.00	1	0.01	8	0.05

%Hit_no_genomes: 2.06
